CitizenID,VoterRegistration,VolunteerHoursPerYear,CommunityGroupMembership,DonationsToCharity
1,True,78,Religious Organization,8480
2,False,256,Sports Club,394
3,True,110,Neighborhood Watch,7023
4,False,110,Religious Organization,9106
5,False,250,Neighborhood Watch,7719
6,False,290,Sports Club,1966
7,False,422,Religious Organization,2021
8,True,150,Neighborhood Watch,613
9,False,319,Religious Organization,3138
10,True,245,Sports Club,7091
11,False,120,Neighborhood Watch,306
12,True,209,None,6678
13,False,126,Religious Organization,111
14,True,6,Neighborhood Watch,6535
15,True,11,Neighborhood Watch,1354
16,False,15,None,4548
17,False,431,Neighborhood Watch,9189
18,False,154,None,2772
19,False,271,Sports Club,8206
20,False,162,None,7184
21,True,20,Religious Organization,3065
22,False,487,None,3483
23,False,130,Religious Organization,3944
24,False,2,Sports Club,6264
25,True,57,Sports Club,2609
26,True,375,Religious Organization,5909
27,False,265,Sports Club,8317
28,True,272,Sports Club,3856
29,False,26,Sports Club,9082
30,False,161,Religious Organization,3639
31,True,233,Sports Club,9499
32,False,274,Sports Club,9149
33,True,284,Religious Organization,3747
34,False,154,Sports Club,2883
35,True,273,Religious Organization,4537
36,False,343,Neighborhood Watch,5650
37,True,493,None,6137
38,True,302,Neighborhood Watch,3995
39,False,225,Neighborhood Watch,4564
40,False,262,None,6070
41,True,448,Religious Organization,1783
42,True,32,Sports Club,6118
43,True,144,Religious Organization,9278
44,False,386,Neighborhood Watch,7847
45,True,384,Religious Organization,3548
46,True,203,None,3725
47,False,410,Sports Club,6236
48,True,449,Sports Club,6751
49,False,43,Sports Club,3959
50,False,402,Religious Organization,4710
51,False,322,Religious Organization,6916
52,True,330,Sports Club,5794
53,False,93,Sports Club,2700
54,False,49,Religious Organization,7600
55,True,409,Religious Organization,9911
56,True,455,None,372
57,True,43,Sports Club,6393
58,True,153,Religious Organization,5440
59,True,166,None,2232
60,False,403,Neighborhood Watch,6479
61,True,341,None,14
62,False,354,Sports Club,5954
63,True,115,Sports Club,9345
64,False,331,Sports Club,8416
65,False,411,Neighborhood Watch,3334
66,True,5,Sports Club,7466
67,True,226,Neighborhood Watch,8027
68,True,66,None,5146
69,True,52,Neighborhood Watch,3540
70,True,489,Neighborhood Watch,6602
71,False,253,Neighborhood Watch,1800
72,False,30,Neighborhood Watch,6226
73,True,480,None,6163
74,False,383,Religious Organization,6153
75,True,419,Religious Organization,7007
76,False,474,None,970
77,True,317,None,4440
78,True,470,None,8612
79,True,480,Neighborhood Watch,6808
80,True,53,Neighborhood Watch,3181
81,False,156,Neighborhood Watch,1889
82,True,85,Sports Club,1726
83,True,418,None,8179
84,True,453,Neighborhood Watch,6425
85,False,149,Neighborhood Watch,2061
86,True,455,Religious Organization,2736
87,False,128,None,1360
88,False,462,Religious Organization,5652
89,True,219,Sports Club,3827
90,False,111,Sports Club,61
91,True,158,Sports Club,3256
92,True,291,Religious Organization,8441
93,False,90,Religious Organization,1117
94,False,379,Sports Club,2642
95,True,290,Neighborhood Watch,1713
96,False,146,Neighborhood Watch,9972
97,False,351,Religious Organization,6757
98,False,235,None,3259
99,False,201,Religious Organization,6987
100,True,133,Sports Club,2142
101,False,91,Sports Club,3460
102,True,439,Religious Organization,9863
103,True,145,Neighborhood Watch,6431
104,False,37,Neighborhood Watch,1933
105,False,396,Neighborhood Watch,7703
106,True,11,Neighborhood Watch,8071
107,True,350,Sports Club,2668
108,False,77,Religious Organization,9626
109,True,333,None,8806
110,True,357,Neighborhood Watch,8443
111,True,362,Sports Club,2125
112,True,278,Sports Club,6947
113,True,199,Sports Club,8715
114,True,280,Religious Organization,6948
115,True,157,Sports Club,1597
116,False,429,None,977
117,True,89,Sports Club,7899
118,True,382,Sports Club,3186
119,True,172,Neighborhood Watch,5967
120,False,247,Religious Organization,1368
121,True,72,Religious Organization,5795
122,False,151,None,9099
123,False,149,None,2401
124,False,197,Religious Organization,6884
125,False,490,Sports Club,1817
126,False,340,None,5802
127,True,147,None,234
128,False,332,Sports Club,1187
129,True,382,Neighborhood Watch,5278
130,False,87,Religious Organization,2055
131,True,286,Neighborhood Watch,4202
132,True,121,Sports Club,5746
133,False,48,Sports Club,4124
134,False,203,Religious Organization,1199
135,True,320,Neighborhood Watch,6877
136,False,17,Neighborhood Watch,4918
137,False,381,Sports Club,1560
138,True,454,Neighborhood Watch,8724
139,True,341,None,5433
140,True,250,Neighborhood Watch,181
141,True,448,Sports Club,5576
142,False,277,None,7867
143,False,455,None,8976
144,False,385,None,8672
145,False,262,Neighborhood Watch,6840
146,False,332,Neighborhood Watch,6508
147,True,440,Neighborhood Watch,8923
148,True,168,Religious Organization,3528
149,False,23,None,387
150,True,120,Sports Club,9744
151,False,294,None,3974
152,False,104,Neighborhood Watch,5716
153,False,402,Religious Organization,7403
154,True,448,Religious Organization,7830
155,True,367,Neighborhood Watch,7589
156,True,147,Neighborhood Watch,458
157,True,335,Neighborhood Watch,2887
158,True,376,Religious Organization,3513
159,False,355,Neighborhood Watch,893
160,True,23,None,5843
161,False,414,None,1001
162,False,385,Sports Club,832
163,True,348,None,187
164,True,374,Sports Club,9231
165,True,267,Sports Club,2068
166,False,36,None,7131
167,False,67,Religious Organization,5162
168,True,462,Sports Club,8814
169,False,195,Sports Club,9714
170,False,393,Religious Organization,1969
171,True,420,None,8666
172,True,284,None,4096
173,True,192,Sports Club,2643
174,True,420,None,4579
175,False,458,None,3688
176,False,367,Neighborhood Watch,9096
177,True,174,Sports Club,1193
178,False,469,Neighborhood Watch,1460
179,False,484,None,2176
180,True,116,Sports Club,3338
181,True,127,None,3806
182,False,465,Sports Club,6016
183,True,133,None,6160
184,False,324,Sports Club,2601
185,False,289,Neighborhood Watch,4762
186,True,149,Sports Club,6452
187,True,178,None,2807
188,True,494,Sports Club,730
189,False,46,None,9398
190,True,421,Religious Organization,9940
191,True,307,Religious Organization,5987
192,True,314,Neighborhood Watch,6909
193,False,164,Neighborhood Watch,4884
194,False,292,Neighborhood Watch,6286
195,True,291,Neighborhood Watch,2846
196,False,99,Neighborhood Watch,8012
197,False,276,Religious Organization,6528
198,True,467,Religious Organization,4466
199,True,40,Sports Club,3789
200,False,283,Religious Organization,1327
201,True,104,None,9935
202,True,154,Religious Organization,6537
203,True,494,None,4898
204,False,101,Sports Club,7666
205,True,417,None,7528
