CitizenID,HighestEducation,FieldOfStudy,GraduationYear,LanguageProficiency
1,PhD,Arts,1992,Native
2,PhD,Engineering,2010,Fluent
3,Master's Degree,Business,2015,Intermediate
4,PhD,Business,1982,Native
5,High School,Law,1980,Intermediate
6,Associate's Degree,Law,2018,Basic
7,PhD,Engineering,1996,Basic
8,Bachelor's Degree,Business,2000,Basic
9,High School,Engineering,1995,Fluent
10,Master's Degree,Sciences,1996,Intermediate
11,Bachelor's Degree,Law,1995,Intermediate
12,Bachelor's Degree,Arts,1973,Fluent
13,PhD,Sciences,2016,Intermediate
14,Master's Degree,Law,2011,Native
15,PhD,Sciences,2009,Native
16,Master's Degree,Business,2013,Fluent
17,Associate's Degree,Law,1971,Basic
18,Associate's Degree,Law,2019,Native
19,High School,Sciences,2021,Native
20,Master's Degree,Sciences,1992,Basic
21,Associate's Degree,Engineering,1986,Native
22,Master's Degree,Law,2007,Intermediate
23,Bachelor's Degree,Arts,1980,Intermediate
24,Associate's Degree,Business,2012,Intermediate
25,Master's Degree,Law,2012,Fluent
26,Master's Degree,Arts,2009,Fluent
27,Bachelor's Degree,Arts,1985,Fluent
28,Associate's Degree,Engineering,1974,Native
29,Associate's Degree,Sciences,1999,Basic
30,PhD,Business,1981,Basic
31,PhD,Arts,1989,Fluent
32,Associate's Degree,Business,1996,Fluent
33,PhD,Arts,2013,Intermediate
34,Associate's Degree,Business,1999,Intermediate
35,Bachelor's Degree,Business,2013,Native
36,Master's Degree,Law,1993,Native
37,Associate's Degree,Arts,1996,Intermediate
38,Master's Degree,Sciences,2018,Basic
39,High School,Sciences,1995,Fluent
40,Bachelor's Degree,Engineering,1999,Intermediate
41,Master's Degree,Engineering,1991,Fluent
42,Associate's Degree,Arts,1974,Intermediate
43,Associate's Degree,Sciences,1975,Fluent
44,PhD,Law,2000,Fluent
45,PhD,Engineering,1973,Intermediate
46,Bachelor's Degree,Engineering,1971,Native
47,High School,Law,1973,Native
48,PhD,Law,1991,Intermediate
49,Bachelor's Degree,Law,1987,Native
50,PhD,Business,1975,Basic
51,Associate's Degree,Law,2008,Native
52,High School,Sciences,2016,Intermediate
53,Master's Degree,Arts,1999,Native
54,Associate's Degree,Sciences,2018,Fluent
55,PhD,Business,2010,Fluent
56,Associate's Degree,Business,2015,Fluent
57,Associate's Degree,Law,1996,Intermediate
58,High School,Arts,2007,Intermediate
59,High School,Sciences,1988,Basic
60,Associate's Degree,Arts,2012,Intermediate
61,PhD,Arts,1973,Fluent
62,Master's Degree,Sciences,1998,Intermediate
63,Master's Degree,Engineering,1977,Intermediate
64,Master's Degree,Business,1983,Native
65,Master's Degree,Engineering,2020,Basic
66,Master's Degree,Law,2007,Intermediate
67,PhD,Arts,1991,Fluent
68,Bachelor's Degree,Engineering,1975,Basic
69,Bachelor's Degree,Sciences,1972,Intermediate
70,Associate's Degree,Arts,2014,Native
71,Master's Degree,Law,1992,Basic
72,Bachelor's Degree,Sciences,2016,Basic
73,High School,Business,1976,Intermediate
74,Master's Degree,Business,2002,Fluent
75,Associate's Degree,Engineering,1971,Fluent
76,Associate's Degree,Sciences,2022,Fluent
77,Bachelor's Degree,Business,1970,Intermediate
78,Associate's Degree,Arts,1987,Fluent
79,PhD,Arts,1993,Intermediate
80,Associate's Degree,Sciences,1982,Basic
81,High School,Law,2014,Basic
82,PhD,Business,1989,Native
83,Associate's Degree,Arts,1989,Intermediate
84,Associate's Degree,Sciences,2018,Native
85,PhD,Arts,2001,Basic
86,Master's Degree,Business,1970,Basic
87,High School,Engineering,1991,Native
88,PhD,Sciences,2013,Intermediate
89,Associate's Degree,Arts,1983,Fluent
90,Master's Degree,Engineering,1974,Basic
91,Bachelor's Degree,Engineering,2009,Intermediate
92,High School,Arts,2004,Intermediate
93,Associate's Degree,Engineering,1983,Fluent
94,Associate's Degree,Engineering,1990,Basic
95,Bachelor's Degree,Arts,2001,Fluent
96,High School,Sciences,1975,Fluent
97,Associate's Degree,Engineering,2002,Intermediate
98,Bachelor's Degree,Arts,1971,Native
99,PhD,Arts,2021,Intermediate
100,Bachelor's Degree,Engineering,1984,Intermediate
101,Associate's Degree,Engineering,1998,Fluent
102,PhD,Arts,1989,Basic
103,PhD,Arts,2021,Intermediate
104,Bachelor's Degree,Law,2008,Basic
105,High School,Engineering,2007,Basic
106,High School,Business,1996,Basic
107,PhD,Law,1974,Native
108,Master's Degree,Engineering,2003,Intermediate
109,PhD,Arts,2021,Native
110,Bachelor's Degree,Law,1973,Intermediate
111,Bachelor's Degree,Arts,2021,Native
112,Associate's Degree,Law,1994,Native
113,Master's Degree,Arts,1997,Intermediate
114,Associate's Degree,Arts,2000,Intermediate
115,Associate's Degree,Business,1976,Basic
116,Associate's Degree,Law,2012,Native
117,High School,Business,2017,Basic
118,PhD,Engineering,1982,Basic
119,Master's Degree,Arts,1975,Basic
120,High School,Arts,2018,Basic
121,Bachelor's Degree,Law,2010,Intermediate
122,Bachelor's Degree,Arts,1972,Fluent
123,High School,Engineering,2014,Fluent
124,Master's Degree,Sciences,2010,Intermediate
125,PhD,Engineering,1986,Basic
126,Master's Degree,Business,1978,Basic
127,High School,Business,1988,Fluent
128,Master's Degree,Business,2019,Native
129,Master's Degree,Business,1983,Native
130,High School,Engineering,2001,Native
131,Associate's Degree,Business,2009,Native
132,Associate's Degree,Law,1974,Fluent
133,Associate's Degree,Sciences,1971,Native
134,Bachelor's Degree,Engineering,1978,Native
135,Associate's Degree,Arts,1974,Basic
136,Associate's Degree,Law,1980,Basic
137,Associate's Degree,Business,1983,Intermediate
138,Master's Degree,Business,2014,Fluent
139,PhD,Arts,2020,Fluent
140,PhD,Sciences,2011,Intermediate
141,Master's Degree,Sciences,2002,Intermediate
142,Master's Degree,Engineering,1999,Basic
143,Bachelor's Degree,Sciences,2007,Native
144,Associate's Degree,Business,1976,Fluent
145,Associate's Degree,Sciences,1972,Basic
146,Master's Degree,Arts,1981,Basic
147,PhD,Sciences,2004,Fluent
148,Bachelor's Degree,Arts,2000,Fluent
149,Bachelor's Degree,Arts,2007,Intermediate
150,Master's Degree,Business,2013,Native
151,Associate's Degree,Law,1992,Native
152,Master's Degree,Law,1980,Basic
153,Bachelor's Degree,Arts,2005,Fluent
154,Associate's Degree,Engineering,1991,Fluent
155,PhD,Law,1982,Basic
156,Associate's Degree,Law,1994,Native
157,Master's Degree,Arts,2000,Intermediate
158,PhD,Sciences,1973,Basic
159,Associate's Degree,Business,1990,Basic
160,Bachelor's Degree,Engineering,2003,Intermediate
161,PhD,Sciences,1996,Basic
162,High School,Law,2002,Fluent
163,Associate's Degree,Law,1981,Intermediate
164,PhD,Arts,2013,Basic
165,PhD,Sciences,1986,Native
166,Bachelor's Degree,Engineering,1998,Basic
167,High School,Law,1988,Native
168,Associate's Degree,Law,1974,Native
169,Associate's Degree,Sciences,2011,Fluent
170,High School,Law,1992,Native
171,High School,Sciences,2013,Intermediate
172,Bachelor's Degree,Engineering,2022,Fluent
173,Bachelor's Degree,Law,1984,Fluent
174,Bachelor's Degree,Business,1975,Native
175,High School,Law,1989,Intermediate
176,Associate's Degree,Arts,2016,Intermediate
177,Bachelor's Degree,Sciences,1993,Intermediate
178,PhD,Sciences,1991,Basic
179,Bachelor's Degree,Engineering,1975,Basic
180,Associate's Degree,Law,1979,Native
181,Associate's Degree,Engineering,1978,Basic
182,Master's Degree,Business,1988,Basic
183,Associate's Degree,Law,2015,Fluent
184,Associate's Degree,Law,2013,Fluent
185,Bachelor's Degree,Engineering,1980,Intermediate
186,Associate's Degree,Business,1978,Intermediate
187,PhD,Law,2008,Native
188,Associate's Degree,Engineering,2005,Basic
189,PhD,Business,2016,Basic
190,Bachelor's Degree,Sciences,1981,Intermediate
191,Master's Degree,Sciences,1998,Intermediate
192,Associate's Degree,Arts,2004,Basic
193,PhD,Business,2009,Fluent
194,PhD,Engineering,1994,Basic
195,High School,Engineering,1979,Fluent
196,Associate's Degree,Business,1980,Basic
197,PhD,Business,1971,Fluent
198,Associate's Degree,Business,1981,Fluent
199,Bachelor's Degree,Sciences,1995,Fluent
200,High School,Sciences,1982,Native
201,PhD,Law,1988,Intermediate
202,Master's Degree,Law,2001,Native
203,Bachelor's Degree,Business,1988,Basic
204,High School,Sciences,1977,Native
205,Associate's Degree,Sciences,1974,Fluent
206,Master's Degree,Law,2020,Intermediate
207,High School,Sciences,1993,Fluent
208,Bachelor's Degree,Arts,2020,Intermediate
209,High School,Engineering,1995,Native
210,High School,Sciences,2022,Basic
211,Bachelor's Degree,Arts,1987,Fluent
212,Associate's Degree,Arts,1981,Intermediate
213,Bachelor's Degree,Arts,2000,Native
214,Bachelor's Degree,Law,2010,Intermediate
215,PhD,Engineering,1986,Intermediate
216,High School,Sciences,1999,Native
217,Associate's Degree,Arts,1981,Fluent
218,Associate's Degree,Business,1979,Basic
219,High School,Arts,2022,Intermediate
220,Master's Degree,Business,1999,Basic
221,Bachelor's Degree,Sciences,2001,Intermediate
222,PhD,Business,1999,Intermediate
223,Bachelor's Degree,Arts,1994,Intermediate
224,High School,Business,1993,Intermediate
225,Bachelor's Degree,Engineering,1992,Fluent
226,High School,Sciences,1974,Fluent
227,High School,Sciences,2006,Fluent
228,High School,Sciences,1978,Intermediate
229,Master's Degree,Law,1993,Intermediate
230,Associate's Degree,Business,1992,Fluent
231,Master's Degree,Engineering,2021,Native
232,High School,Business,1995,Native
233,Associate's Degree,Sciences,2022,Fluent
234,Associate's Degree,Arts,1985,Intermediate
235,PhD,Business,2007,Basic
236,PhD,Law,1970,Intermediate
237,High School,Engineering,2010,Intermediate
238,Bachelor's Degree,Engineering,2013,Basic
239,Master's Degree,Sciences,1977,Basic
240,Master's Degree,Law,1979,Intermediate
241,Associate's Degree,Engineering,1996,Intermediate
242,Master's Degree,Business,1992,Basic
243,Bachelor's Degree,Arts,2007,Intermediate
244,PhD,Engineering,1989,Basic
245,Associate's Degree,Business,2011,Native
246,High School,Business,2014,Basic
247,Associate's Degree,Sciences,2017,Fluent
248,Bachelor's Degree,Arts,1970,Intermediate
249,Master's Degree,Sciences,1972,Intermediate
250,Bachelor's Degree,Sciences,1999,Basic
251,High School,Engineering,1982,Native
252,PhD,Arts,1998,Native
253,Associate's Degree,Business,1993,Native
254,Bachelor's Degree,Law,2011,Basic
255,Associate's Degree,Sciences,1991,Fluent
256,Bachelor's Degree,Arts,1980,Intermediate
257,Associate's Degree,Business,1984,Fluent
258,PhD,Business,1972,Intermediate
259,Master's Degree,Engineering,2021,Intermediate
260,High School,Business,2004,Intermediate
261,High School,Business,2007,Basic
262,Associate's Degree,Arts,1979,Basic
