CitizenID,SocialSecurity,HealthcarePlan,UnemploymentBenefits,DisabilityBenefits
1,False,None,False,False
2,True,Plan B,True,True
3,True,None,False,True
4,True,None,True,True
5,True,Plan C,True,False
6,False,Plan C,False,False
7,True,Plan A,True,True
8,True,None,False,False
9,True,Plan A,True,False
10,True,Plan C,True,False
11,True,Plan C,False,False
12,True,Plan B,True,False
13,True,Plan C,True,False
14,False,Plan A,False,True
15,True,None,True,True
16,False,Plan B,False,True
17,False,Plan C,False,False
18,False,None,False,False
19,True,Plan A,True,False
20,False,Plan B,False,True
21,False,Plan B,True,True
22,False,Plan A,True,True
23,True,None,True,True
24,True,None,True,False
25,False,Plan B,False,True
26,True,Plan A,False,True
27,True,None,True,True
28,True,Plan C,False,True
29,True,None,True,False
30,True,Plan C,True,True
31,True,Plan C,False,False
32,True,Plan B,True,False
33,False,Plan C,False,True
34,True,Plan C,False,False
35,True,Plan C,True,True
36,True,Plan B,True,True
37,True,Plan C,True,False
38,True,Plan B,False,True
39,True,Plan A,False,False
40,True,Plan C,False,True
41,True,None,False,True
42,False,None,False,False
43,True,None,True,False
44,True,Plan C,False,True
45,True,Plan A,False,False
46,True,Plan B,False,True
47,False,Plan C,True,True
48,False,None,False,False
49,False,Plan A,False,False
50,False,Plan C,True,True
51,True,None,False,True
52,False,Plan C,False,True
53,False,Plan A,True,True
54,False,Plan A,False,False
55,False,Plan C,False,False
56,True,Plan B,False,True
57,True,Plan A,False,True
58,True,Plan A,False,False
59,True,Plan C,False,False
60,False,Plan B,True,True
61,False,Plan B,True,True
62,True,Plan A,False,False
63,False,Plan A,True,True
64,False,Plan B,False,True
65,False,Plan C,True,False
66,False,None,False,True
67,False,Plan B,True,True
68,False,Plan B,False,True
69,False,Plan C,False,True
70,True,Plan C,False,False
71,False,Plan A,False,True
72,True,Plan C,False,True
73,True,Plan C,True,False
74,False,Plan C,True,True
75,False,Plan B,False,True
76,False,Plan B,True,True
77,True,Plan C,False,False
78,False,Plan B,False,True
79,False,Plan C,False,False
80,True,Plan A,False,True
81,True,Plan B,False,True
82,False,Plan C,False,False
83,True,None,False,False
84,True,Plan A,False,True
85,False,Plan B,False,False
86,False,Plan C,True,True
87,False,None,True,True
88,True,Plan C,False,True
89,False,None,False,False
90,True,Plan C,True,True
91,False,Plan B,True,True
92,False,None,False,True
93,False,Plan C,True,False
94,False,None,True,False
95,True,Plan B,False,True
96,False,Plan B,False,True
97,True,Plan A,True,False
98,False,None,True,False
99,True,Plan C,False,True
100,True,None,False,False
101,False,None,False,True
102,False,None,True,True
103,True,Plan B,True,False
104,True,Plan C,True,True
105,True,Plan C,False,False
106,False,None,False,False
107,False,None,True,True
108,False,Plan A,True,False
109,False,Plan C,False,False
110,True,Plan A,False,True
111,False,Plan A,True,False
112,False,None,True,True
113,False,None,False,False
114,False,Plan C,False,False
115,True,Plan C,True,True
116,True,Plan C,True,False
117,False,None,False,False
118,False,Plan B,False,True
119,True,Plan A,True,True
120,True,Plan B,True,False
121,False,Plan B,False,False
122,False,Plan C,True,False
123,False,Plan B,True,True
124,False,Plan A,False,True
125,True,Plan C,False,False
126,False,Plan A,True,True
127,True,Plan B,True,False
128,True,Plan C,True,False
129,True,None,True,False
130,True,None,False,False
131,False,Plan C,True,True
132,False,Plan A,False,True
133,True,Plan A,True,True
134,True,None,True,False
135,True,Plan B,True,True
136,False,Plan A,True,True
137,True,Plan B,False,True
138,False,Plan A,False,True
139,False,Plan A,False,False
140,False,Plan B,False,False
141,True,None,False,True
142,True,Plan C,False,True
143,False,Plan B,False,False
144,False,None,True,True
145,True,None,False,True
146,True,None,True,False
147,False,Plan B,False,True
148,True,Plan A,True,False
149,False,Plan B,False,True
